iter	Passed	Remaining
0	141	141332
1	143	71398
2	144	47867
3	145	36153
4	146	29192
5	147	24488
6	148	21128
7	149	18595
8	151	16634
9	151	15031
10	152	13748
11	153	12672
12	155	11787
13	156	11023
14	157	10345
15	158	9770
16	160	9255
17	161	8799
18	162	8371
19	163	8003
20	164	7658
21	165	7344
22	166	7061
23	167	6816
24	169	6619
25	171	6438
26	173	6238
27	174	6050
28	175	5882
29	176	5720
30	178	5585
31	179	5437
32	180	5300
33	182	5171
34	183	5063
35	184	4952
36	186	4855
37	187	4758
38	188	4656
39	190	4560
40	191	4473
41	192	4389
42	193	4308
43	194	4225
44	195	4144
45	196	4072
46	197	4012
47	199	3950
48	200	3895
49	201	3834
50	202	3775
51	203	3715
52	204	3657
53	205	3607
54	206	3554
55	207	3505
56	209	3459
57	210	3416
58	211	3375
59	212	3336
60	214	3302
61	215	3266
62	217	3232
63	218	3192
64	219	3154
65	220	3116
66	221	3079
67	222	3047
68	223	3015
69	224	2986
70	225	2955
71	227	2934
72	229	2909
73	230	2882
74	231	2853
75	232	2824
76	233	2796
77	234	2770
78	235	2746
79	236	2719
80	237	2693
81	238	2667
82	238	2637
83	239	2613
84	240	2589
85	241	2570
86	243	2551
87	244	2535
88	245	2516
89	246	2495
90	247	2474
91	248	2453
92	249	2432
93	250	2413
94	251	2395
95	252	2377
96	253	2358
97	254	2339
98	255	2322
99	256	2306
100	257	2294
101	259	2283
102	260	2269
103	261	2253
104	262	2236
105	263	2221
106	264	2206
107	265	2191
108	266	2177
109	267	2161
110	268	2147
111	269	2133
112	270	2121
113	271	2111
114	273	2101
115	274	2089
116	274	2074
117	276	2063
118	277	2051
119	278	2041
120	279	2030
121	280	2016
122	281	2005
123	282	1992
124	282	1980
125	283	1969
126	284	1957
127	285	1947
128	287	1938
129	288	1929
130	289	1919
131	290	1908
132	291	1898
133	292	1888
134	293	1879
135	294	1871
136	295	1862
137	296	1853
138	297	1844
139	298	1834
140	299	1824
141	300	1812
142	301	1805
143	302	1798
144	303	1790
145	304	1783
146	305	1775
147	306	1766
148	307	1758
149	308	1750
150	309	1742
151	310	1734
152	311	1726
153	312	1718
154	314	1711
155	315	1704
156	316	1698
157	317	1691
158	318	1684
159	319	1676
160	320	1668
161	321	1661
162	322	1655
163	323	1648
164	324	1641
165	325	1634
166	326	1627
167	327	1622
168	328	1615
169	329	1608
170	331	1605
171	332	1600
172	333	1593
173	334	1587
174	335	1580
175	336	1573
176	336	1566
177	337	1560
178	338	1554
179	339	1548
180	340	1541
181	341	1535
182	342	1530
183	343	1524
184	344	1519
185	346	1516
186	347	1511
187	348	1505
188	349	1500
189	350	1494
190	351	1488
191	352	1482
192	353	1476
193	354	1471
194	355	1466
195	356	1460
196	357	1455
197	358	1450
198	359	1446
199	360	1442
200	361	1438
201	362	1433
202	364	1429
203	365	1425
204	366	1421
205	367	1417
206	368	1413
207	369	1408
208	371	1404
209	372	1400
210	373	1397
211	375	1395
212	376	1391
213	377	1385
214	378	1380
215	379	1375
216	379	1371
217	380	1366
218	381	1361
219	382	1356
220	383	1351
221	384	1347
222	385	1343
223	386	1339
224	387	1335
225	388	1331
226	389	1327
227	391	1325
228	392	1321
229	393	1317
230	394	1313
231	395	1309
232	396	1305
233	397	1301
234	398	1296
235	399	1292
236	400	1288
237	401	1284
238	402	1280
239	403	1276
240	404	1273
241	405	1269
242	406	1267
243	407	1263
244	408	1259
245	409	1255
246	410	1251
247	411	1248
248	412	1244
249	413	1241
250	414	1237
251	415	1234
252	416	1230
253	418	1227
254	419	1225
255	420	1222
256	421	1219
257	423	1216
258	424	1213
259	424	1209
260	425	1205
261	426	1201
262	427	1197
263	428	1193
264	429	1189
265	430	1186
266	431	1183
267	431	1179
268	432	1175
269	433	1172
270	434	1169
271	435	1166
272	436	1163
273	437	1160
274	438	1157
275	439	1154
276	440	1150
277	441	1147
278	442	1144
279	443	1141
280	444	1138
281	445	1135
282	446	1131
283	447	1128
284	448	1125
285	450	1123
286	451	1120
287	451	1117
288	452	1113
289	453	1110
290	454	1107
291	455	1104
292	456	1101
293	457	1099
294	458	1096
295	459	1093
296	460	1089
297	461	1086
298	462	1083
299	463	1082
300	465	1079
301	466	1077
302	466	1073
303	467	1070
304	468	1067
305	469	1064
306	470	1061
307	471	1059
308	472	1056
309	473	1053
310	474	1051
311	476	1049
312	477	1047
313	478	1046
314	480	1044
315	481	1042
316	482	1040
317	483	1037
318	485	1036
319	486	1034
320	488	1033
321	490	1031
322	491	1029
323	492	1027
324	494	1026
325	495	1024
326	496	1022
327	498	1021
328	499	1019
329	501	1017
330	502	1015
331	503	1013
332	504	1010
333	505	1008
334	506	1006
335	508	1005
336	509	1003
337	511	1001
338	512	998
339	513	997
340	515	996
341	516	994
342	518	992
343	519	990
344	520	988
345	521	986
346	523	984
347	524	983
348	525	981
349	527	978
350	528	976
351	529	975
352	530	972
353	531	970
354	532	968
355	534	966
356	535	964
357	536	962
358	539	962
359	541	962
360	542	960
361	544	959
362	545	956
363	546	954
364	547	952
365	549	951
